query_id;bin_cos_p;bin_cos_r;bin_cos_f;bin_euc_p;bin_euc_r;bin_euc_f;ter_cos_p;ter_cos_r;ter_cos_f;ter_euc_p;ter_euc_r;ter_euc_f;tid_cos_p;tid_cos_r;tid_cos_f;tid_euc_p;tid_euc_r;tid_euc_f;w2v_cos_p;w2v_cos_r;w2v_cos_f;w2v_euc_p;w2v_euc_r;w2v_euc_f
113;0,066667;0,200000;0,021053;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,200000;0,021053;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
114;0,066667;0,200000;0,021053;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,200000;0,021053;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
115;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
116;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,166667;0,018018;0,066667;0,166667;0,018018;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
117;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
118;0,066667;0,250000;0,025316;0,000000;0,000000;0,000000;0,066667;0,250000;0,025316;0,000000;0,000000;0,000000;0,066667;0,250000;0,025316;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
119;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,500000;0,042553;0,000000;0,000000;0,000000;0,066667;0,500000;0,042553;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
120;0,400000;0,600000;0,240000;0,000000;0,000000;0,000000;0,200000;0,300000;0,080000;0,000000;0,000000;0,000000;0,466667;0,700000;0,301538;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
121;0,266667;0,500000;0,150943;0,000000;0,000000;0,000000;0,200000;0,375000;0,095238;0,000000;0,000000;0,000000;0,266667;0,500000;0,150943;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
122;0,066667;0,100000;0,011429;0,000000;0,000000;0,000000;0,066667;0,100000;0,011429;0,000000;0,000000;0,000000;0,133333;0,200000;0,040000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
123;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
124;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,200000;0,021053;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
125;0,133333;0,111111;0,023810;0,000000;0,000000;0,000000;0,133333;0,111111;0,023810;0,000000;0,000000;0,000000;0,200000;0,166667;0,048780;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
126;0,133333;0,222222;0,043716;0,000000;0,000000;0,000000;0,133333;0,222222;0,043716;0,000000;0,000000;0,000000;0,133333;0,222222;0,043716;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
127;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,133333;0,333333;0,060606;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
