inst;succ A;succ B;of;steps A;steps B;awg fined A;awg fined B;mu A;sig^2 A;mu B;sig^2 B;xing;winner
gen-2861;850;992;1000;748.036;411.781;2773.04;519.781;6.36458;0.615156;5.77508;33.9046;2;B
gen-2862;1000;1000;1000;110.252;58.305;110.252;58.305;4.37018;0.737091;3.76788;14.8269;998;A
gen-2863;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2864;517;756;1000;1057.09;764.608;7577.59;4058.61;6.73278;0.668564;6.262;40.2261;1;B
gen-2865;981;1000;1000;364.512;183.525;621.012;183.525;5.47731;0.94364;4.89225;24.6324;806;B
gen-2866;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2867;980;1000;1000;379.72;166.052;649.72;166.052;5.55343;0.876942;4.79758;23.7004;263;B
gen-2868;921;981;1000;582.152;369.698;1648.65;626.198;6.02231;0.865516;5.47243;30.9591;1;B
gen-2869;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2870;740;998;1000;851.165;350.883;4361.16;377.883;6.46155;0.749523;5.52407;31.2983;1;B
gen-2871;985;1000;1000;391.24;184.412;593.74;184.412;5.65228;0.697486;4.95098;25.069;817;B
gen-2872;999;1000;1000;200.465;108.051;213.965;108.051;4.85844;1.00654;4.23219;18.8963;969;B
gen-2873;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2874;1000;1000;1000;136.78;81.508;136.78;81.508;4.42045;1.07525;3.85177;15.9128;996;B
gen-2875;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2876;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2877;999;1000;1000;212.441;162.021;225.941;162.021;4.82416;1.23214;4.52336;21.8077;60;B
gen-2878;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2879;833;985;1000;698.712;358.301;2953.21;560.801;6.19633;0.883411;5.51934;31.2391;3;B
gen-2880;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2881;599;834;1000;958.51;639.603;6372.01;2880.6;6.51153;1.10758;5.92917;36.617;6;B
gen-2882;581;763;1000;1004.22;792.269;6660.72;3991.77;6.66096;0.726197;6.32335;40.9668;10;B
gen-2883;82;342;1000;1455.04;1258.31;13848;10141.3;7.26678;0.047404;7.04072;49.9028;1;B
gen-2884;861;997;1000;682.414;273.031;2558.91;313.531;6.17892;0.907652;5.19631;27.9218;182;B
gen-2885;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2886;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2887;763;937;1000;840.112;503.558;4039.61;1354.06;6.45067;0.767538;5.8406;35.01;10;B
gen-2888;1000;1000;1000;108.866;58.513;108.866;58.513;4.24154;1.00794;3.72691;14.6583;996;B
gen-2889;1000;1000;1000;63.084;43.17;63.084;43.17;3.71903;0.881958;3.28063;11.7248;997;A
gen-2890;196;479;1000;1375.16;1139.84;12229.2;8173.34;7.17409;0.158587;6.89501;47.984;1;B
gen-2891;337;717;1000;1262.53;887.049;10213;4707.55;7.03827;0.300816;6.5435;43.4967;2;B
gen-2892;879;980;1000;660.149;359.789;2293.65;629.789;6.13324;0.922073;5.40942;30.3599;1;B
gen-2893;1000;1000;1000;62.268;34.967;62.268;34.967;3.72883;0.790395;3.23734;11.0604;999;A
gen-2894;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2895;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2896;207;389;1000;1355.1;1221.18;12060.6;9469.68;7.14417;0.206475;6.98456;49.1955;1;B
gen-2897;606;881;1000;1003.74;635.702;6322.73;2242.2;6.70102;0.565671;6.13128;38.3817;2;B
gen-2898;454;810;1000;1140.01;760.489;8511.01;3325.49;6.85298;0.553473;6.31691;40.7396;3;B
gen-2899;885;993;1000;511.729;244.134;2064.23;338.634;5.58306;1.66844;4.89212;25.2662;2;B
gen-2900;760;970;1000;833.58;416.685;4073.58;821.685;6.47113;0.64865;5.70862;33.3038;4;B
